model,dataset,engine,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,energy_reduction_vs_no_cache_pct,idle_adjusted_energy_reduction_vs_no_cache_pct,hit_rate,reuse_successes,reused_prefix_tokens_total,wasted_compute_ratio
google/gemma-4-E2B-it,banking77,shadow_kv,1.00204518588864,1.004644643251296,-1.5608504859022871,-2.316121019233118,0.0,0,0,0.0
google/gemma-4-E2B-it,banking77,shadow_kv_plus,1.0910552728670482,1.0688665662800556,12.968378785025564,18.36174288223978,0.9921875,127,16256,0.0
google/gemma-4-E2B-it,cnn_dailymail,shadow_kv,0.9993488223566144,0.9985015476564678,1.0451957214740215,1.94301164278322,0.0,0,0,0.0
google/gemma-4-E2B-it,cnn_dailymail,shadow_kv_plus,1.683947021395171,1.6192230712875704,52.129554909899625,62.6919285368537,0.9921875,127,16256,0.0
google/gemma-4-E2B-it,daily_dialog,shadow_kv,1.001772370937709,0.9848878151586198,-1.5527937608303195,-2.612434389599183,0.0,0,0,0.0
google/gemma-4-E2B-it,daily_dialog,shadow_kv_plus,1.1471011145870749,1.1773369028637954,14.072534301390496,16.47082059675814,0.9921875,127,16256,0.0
google/gemma-4-E2B-it,dolly,shadow_kv,1.000868380952449,1.0004042294202171,-2.9361252074014548,-3.722147355422432,0.0,0,0,0.0
google/gemma-4-E2B-it,dolly,shadow_kv_plus,1.1322634080298677,1.2248907065654735,11.7864085116489,14.029761411978576,0.9921875,127,16256,0.0
google/gemma-4-E2B-it,oasst1,shadow_kv,0.9986798969625738,0.9938647580994012,1.76861502616738,2.3557536349868755,0.0,0,0,0.0
google/gemma-4-E2B-it,oasst1,shadow_kv_plus,1.152958197205978,1.2486429010685869,17.48907853745068,22.238110395162263,0.9921875,127,16256,0.0
google/gemma-4-E2B-it,samsum,shadow_kv,0.9971731692216232,0.9952482397240006,-1.589294446317077,-2.218732132351504,0.0,0,0,0.0
