backend,backend_reuse_latency_total_ms,bypassed_matches,dataset,device,dtype,early_layer_attempts,early_layer_hits,energy_source,engine,fast_exact_path_hits,gpu_energy_j,gpu_joules_per_request,gpu_joules_per_total_token,hit_rate,idle_adjusted_gpu_energy_j,idle_adjusted_joules_per_request,logit_guard_attempts,logit_guard_hits,mean_latency_ms,model,n_requests,p50_latency_ms,p95_latency_ms,p99_latency_ms,policy_bypass_total,policy_exact_total,policy_plans_total,policy_semantic_partial_total,prompt_mode,recompute_tokens_total,reuse_attempts,reuse_successes,reused_prefix_tokens_total,scaffold_bypass_store_successes,scaffold_only_attempts,scaffold_only_hits,seed,semantic_blocked_by_backend_total,semantic_matches_total,semantic_opportunity_estimated_savings_ms,semantic_opportunity_plans_total,semantic_opportunity_reused_tokens_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,semantic_queries_total,semantic_scaffold_store_successes,service_throughput_rps,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,throughput_rps,wasted_compute_ratio
hf,0.0,0,cnn_dailymail,cuda,float16,,,nvml,shadow_kv,,17209.035,134.4455859375,0.15340692108148585,0.0,15389.416772036166,120.22981853153254,,,199.43064901428897,Qwen/Qwen2.5-32B-Instruct,128,196.85476199811092,211.62826210129424,215.98224779081647,,,,,semantic,112179,0,0,0,,,,42,,,,,,,,,,,,5.014274410390908,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/cnn_dailymail/shadow_kv/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,,,3.999360970231296,0.0
hf,23915.66868504742,0,cnn_dailymail,cuda,float16,0,0,nvml,shadow_kv_plus,127,16122.642,125.958140625,0.14372246142326103,0.9921875,14439.423730062917,112.80799789111654,,,188.2345367803282,Qwen/Qwen2.5-32B-Instruct,128,182.52362200291827,209.42273409746122,213.53433891694294,1,127,128,0,semantic,95923,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,5.312521374156812,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/cnn_dailymail/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,,,4.19609050906225,0.0
hf,0.0,0,daily_dialog,cuda,float16,,,nvml,no_cache,,12412.221,96.9704765625,0.16510223599675442,0.0,11042.123851675176,86.26659259121232,,,138.57547771897316,Qwen/Qwen2.5-32B-Instruct,128,135.01782650564564,160.16766424509115,163.1492750965117,,,,,semantic,75179,0,0,0,,,,42,,,,,,,,,,,,7.21628398083512,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/daily_dialog/no_cache/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_daily_dialog_semantic_cuda.json,1.0,1.0,5.22366564113563,0.0
hf,0.0,0,daily_dialog,cuda,float16,,,nvml,shadow_kv,,12385.512,96.7618125,0.1647469639127948,0.0,11068.507726569487,86.47271661382412,,,138.46026185944993,Qwen/Qwen2.5-32B-Instruct,128,134.9199164978927,160.05663999458193,162.97461180380196,,,,,semantic,75179,0,0,0,,,,42,,,,,,,,,,,,7.2222888110315235,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/daily_dialog/shadow_kv/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_daily_dialog_semantic_cuda.json,,,5.332535706862,0.0
hf,15630.23433512717,0,daily_dialog,cuda,float16,0,0,nvml,shadow_kv_plus,127,10777.078,84.195921875,0.14335223932215113,0.9921875,9504.58891749712,74.25460091794625,,,123.05268721934226,Qwen/Qwen2.5-32B-Instruct,128,119.26181350281695,144.20889775210526,149.72881879468332,1,127,128,0,semantic,58923,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,8.126600260403034,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/daily_dialog/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_daily_dialog_semantic_cuda.json,,,5.817301408748967,0.0
hf,0.0,0,dolly,cuda,float16,,,nvml,no_cache,,12469.777,97.4201328125,0.1667327681878351,0.0,11082.534924932957,86.58230410103873,,,140.92006633575238,Qwen/Qwen2.5-32B-Instruct,128,132.5962805058225,167.46848020338803,192.08657342896913,,,,,semantic,74789,0,0,0,,,,42,,,,,,,,,,,,7.096221467973388,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/dolly/no_cache/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_dolly_semantic_cuda.json,1.0,1.0,5.223519987177104,0.0
hf,0.0,0,dolly,cuda,float16,,,nvml,shadow_kv,,12625.958,98.640296875,0.1688210565724906,0.0,11169.115422983177,87.25871424205607,,,141.12184016357787,Qwen/Qwen2.5-32B-Instruct,128,132.76312900416087,167.7172268544382,192.38950810045935,,,,,semantic,74789,0,0,0,,,,42,,,,,,,,,,,,7.086075400100189,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/dolly/shadow_kv/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_dolly_semantic_cuda.json,,,5.223599579842602,0.0
hf,16008.850639904267,0,dolly,cuda,float16,0,0,nvml,shadow_kv_plus,127,11012.626,86.036140625,0.14724927462594767,0.9921875,9812.20395626723,76.65784340833774,,,126.00595135938875,Qwen/Qwen2.5-32B-Instruct,128,116.80728949431796,151.29821354639716,172.91552162743756,1,127,128,0,semantic,58533,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,7.936133089046272,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/dolly/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_dolly_semantic_cuda.json,,,5.687967042347006,0.0
hf,0.0,0,oasst1,cuda,float16,,,nvml,no_cache,,12768.186,99.751453125,0.16399535045018432,0.0,11390.472715207505,88.98806808755863,,,143.82061897765652,Qwen/Qwen2.5-32B-Instruct,128,135.22307649691356,168.93890705541708,191.5331966978556,,,,,semantic,77857,0,0,0,,,,42,,,,,,,,,,,,6.953105939248924,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/oasst1/no_cache/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_oasst1_semantic_cuda.json,1.0,1.0,5.119119090315134,0.0
hf,0.0,0,oasst1,cuda,float16,,,nvml,shadow_kv,,12749.166,99.602859375,0.16375105642395674,0.0,11320.42659397463,88.44083276542679,,,143.8800846411823,Qwen/Qwen2.5-32B-Instruct,128,135.49320750462357,169.24202080554096,191.70564223095425,,,,,semantic,77857,0,0,0,,,,42,,,,,,,,,,,,6.9502322193781465,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/oasst1/shadow_kv/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_oasst1_semantic_cuda.json,,,5.119069254512542,0.0
hf,16274.601058947155,0,oasst1,cuda,float16,0,0,nvml,shadow_kv_plus,127,11212.918,87.600921875,0.14401939453099913,0.9921875,9985.32942284508,78.01038611597718,,,128.10537586665305,Qwen/Qwen2.5-32B-Instruct,128,119.22761300957063,159.25838504845152,171.72647191982833,1,127,128,0,semantic,61601,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,7.806073657993214,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/oasst1/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_oasst1_semantic_cuda.json,,,5.564382585369953,0.0
hf,0.0,0,samsum,cuda,float16,,,nvml,no_cache,,13325.196,104.10309375,0.16057354943664517,0.0,11873.830562469717,92.76430126929466,,,151.00972363165965,Qwen/Qwen2.5-32B-Instruct,128,141.34537198697217,192.03217474423582,198.10809400878497,,,,,semantic,82985,0,0,0,,,,42,,,,,,,,,,,,6.622090127382678,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/samsum/no_cache/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_samsum_semantic_cuda.json,1.0,1.0,4.922331316536553,0.0
hf,0.0,0,samsum,cuda,float16,,,nvml,shadow_kv,,13285.06,103.78953125,0.16008989576429475,0.0,11785.479838035088,92.07406123464912,,,151.25790497586422,Qwen/Qwen2.5-32B-Instruct,128,141.61845851049293,192.48766460004845,198.40737148930202,,,,,semantic,82985,0,0,0,,,,42,,,,,,,,,,,,6.61122471688053,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/samsum/shadow_kv/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_samsum_semantic_cuda.json,,,4.922281549396634,0.0
hf,17295.62409504433,0,samsum,cuda,float16,0,0,nvml,shadow_kv_plus,127,11866.278,92.705296875,0.1429930469361933,0.9921875,10585.915203973971,82.70246253104665,,,136.23390650752754,Qwen/Qwen2.5-32B-Instruct,128,123.74931299564196,175.9818248996453,178.86318680873956,1,127,128,0,semantic,66729,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,7.3403165602151,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/samsum/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_samsum_semantic_cuda.json,,,5.331547034486642,0.0
hf,0.0,0,ultrachat,cuda,float16,,,nvml,no_cache,,16043.748,125.34178125,0.1594520662306943,0.0,14526.704823995296,113.48988143746325,,,184.7493997985339,Qwen/Qwen2.5-32B-Instruct,128,190.05366900091758,197.409390003304,201.18844791941228,,,,,semantic,100618,0,0,0,,,,42,,,,,,,,,,,,5.412737476227166,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/ultrachat/no_cache/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_ultrachat_semantic_cuda.json,1.0,1.0,4.196049112111849,0.0
hf,0.0,0,ultrachat,cuda,float16,,,nvml,shadow_kv,,16121.477,125.9490390625,0.16022458208272874,0.0,14519.291078530507,113.43196155101958,,,185.16551335176246,Qwen/Qwen2.5-32B-Instruct,128,190.3851714960183,198.01934469724074,201.8862602817535,,,,,semantic,100618,0,0,0,,,,42,,,,,,,,,,,,5.400573691604661,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/ultrachat/shadow_kv/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_ultrachat_semantic_cuda.json,,,4.266043075118389,0.0
hf,21603.883137897355,0,ultrachat,cuda,float16,0,0,nvml,shadow_kv_plus,127,14529.055,113.5082421875,0.1443981693136417,0.9921875,12963.235607212986,101.27527818135145,,,169.9347195954033,Qwen/Qwen2.5-32B-Instruct,128,173.8059425042593,179.90197305334732,183.85500119358767,1,127,128,0,semantic,84362,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,5.884612646437967,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/ultrachat/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_ultrachat_semantic_cuda.json,,,4.490546945747163,0.0
hf,0.0,0,xsum,cuda,float16,,,nvml,no_cache,,16033.853,125.2644765625,0.1565913001865362,0.0,14387.02261819522,112.39861420465016,,,184.33382978230384,Qwen/Qwen2.5-32B-Instruct,128,193.46443050017115,208.08515339813312,217.522656810761,,,,,semantic,102393,0,0,0,,,,42,,,,,,,,,,,,5.424940181522777,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/xsum/no_cache/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_xsum_semantic_cuda.json,1.0,1.0,4.196067032637303,0.0
hf,0.0,0,xsum,cuda,float16,,,nvml,shadow_kv,,15962.902,124.710171875,0.15589837195902065,0.0,14148.023445960896,110.5314331715695,,,184.58286278860214,Qwen/Qwen2.5-32B-Instruct,128,193.74810149747645,208.465620152856,217.24934450132423,,,,,semantic,102393,0,0,0,,,,42,,,,,,,,,,,,5.417621034219593,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/xsum/shadow_kv/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_xsum_semantic_cuda.json,,,4.265998377687877,0.0
hf,21719.72636313876,0,xsum,cuda,float16,0,0,nvml,shadow_kv_plus,127,14723.988,115.03115625,0.14379877530690574,0.9921875,12995.877913167544,101.53029619662144,,,171.08122203035236,Qwen/Qwen2.5-32B-Instruct,128,178.6264129987103,207.59678359972895,215.55928326939465,1,127,128,0,semantic,86137,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,5.845176858875751,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/xsum/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_xsum_semantic_cuda.json,,,4.4905362557952655,0.0
