dataset,energy_reduction_vs_no_cache_pct,engine,engine_gpu_joules_per_request,engine_idle_adjusted_joules_per_request,engine_mean_latency_ms,engine_p95_latency_ms,fast_exact_path_hits,hit_rate,idle_adjusted_energy_reduction_vs_no_cache_pct,model,no_cache_gpu_joules_per_request,no_cache_idle_adjusted_joules_per_request,no_cache_mean_latency_ms,no_cache_p95_latency_ms,policy_exact_total,policy_semantic_partial_total,prompt_mode,reuse_successes,reused_prefix_tokens_total,seed,semantic_blocked_by_backend_total,semantic_opportunity_plans_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,wasted_compute_ratio
alpaca_eval,2.3129266045988333,shadow_kv,15.924015625,11.657544884975737,19.277901984359858,19.868802499831872,,0.0,3.279318797163559,Qwen/Qwen2.5-3B-Instruct,16.301046875,12.052794438583696,19.25017647656091,19.898420800200256,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,0.9985617984871258,1.0014906937833135,0.0
alpaca_eval,10.060320128979448,shadow_kv_plus,14.661109375,10.363759064275158,19.3496501015602,19.908228549547857,127,0.9921875,14.013641259005942,Qwen/Qwen2.5-3B-Instruct,16.301046875,12.052794438583696,19.25017647656091,19.898420800200256,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,0.9948591512261367,0.9995073519814588,0.0
banking77,-1.2765450067229307,shadow_kv,16.0588125,11.784668340985773,19.262807093888057,19.882499499681217,,0.0,-2.5777327821796012,Qwen/Qwen2.5-3B-Instruct,15.8563984375,11.488524869242454,19.195881992125408,19.81777520045398,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/banking77/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_banking77_semantic_cuda.json,0.9965256828126632,0.996744659833726,0.0
banking77,7.681441689302278,shadow_kv_plus,14.6383984375,10.373498580456072,19.42473064062966,20.113541250020717,127,0.9921875,9.705565348703518,Qwen/Qwen2.5-3B-Instruct,15.8563984375,11.488524869242454,19.195881992125408,19.81777520045398,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/banking77/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_banking77_semantic_cuda.json,0.9882186964268331,0.9852951777168313,0.0
cnn_dailymail,-0.4122624829463719,shadow_kv,20.8266171875,15.950765536070556,25.66076946868634,26.70506839981499,,0.0,-1.1312283117385584,Qwen/Qwen2.5-3B-Instruct,20.741109375,15.772344311790693,25.712616921893527,26.896875699912925,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/cnn_dailymail/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,1.0020204948752787,1.0071824305868193,0.0
cnn_dailymail,-1.868760033478193,shadow_kv_plus,21.1287109375,16.052034041140004,30.681608109418335,32.66671035030413,127,0.9921875,-1.7732920599522266,Qwen/Qwen2.5-3B-Instruct,20.741109375,15.772344311790693,25.712616921893527,26.896875699912925,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/cnn_dailymail/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,0.8380465857655135,0.8233726448571677,0.0
daily_dialog,0.6975956779730563,shadow_kv,16.749421875,12.491184660850784,19.753003820291326,22.33093989925692,,0.0,0.37413660550914896,Qwen/Qwen2.5-3B-Instruct,16.8670859375,12.538094261114857,19.79400792184549,21.801980699910928,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/daily_dialog/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_daily_dialog_semantic_cuda.json,1.002075841321513,0.9763127211961378,0.0
daily_dialog,7.1329748627481315,shadow_kv_plus,15.6639609375,11.148699759119477,20.335645250099788,23.536045050423127,127,0.9921875,11.081385041938887,Qwen/Qwen2.5-3B-Instruct,16.8670859375,12.538094261114857,19.79400792184549,21.801980699910928,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/daily_dialog/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_daily_dialog_semantic_cuda.json,0.9733651270174651,0.9263230357183131,0.0
dolly,2.0778055981165053,shadow_kv,16.786296875,12.24426892557438,20.15435591410153,23.311649650077015,,0.0,5.206452224669309,Qwen/Qwen2.5-3B-Instruct,17.142484375,12.91677462541481,20.273951882856522,23.28980150045936,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/dolly/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_dolly_semantic_cuda.json,1.0059340010300857,0.999062779771247,0.0
dolly,8.667382480843,shadow_kv_plus,15.6566796875,11.372503351052313,20.365886562494495,24.157034599784307,127,0.9921875,11.95554865007877,Qwen/Qwen2.5-3B-Instruct,17.142484375,12.91677462541481,20.273951882856522,23.28980150045936,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/dolly/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_dolly_semantic_cuda.json,0.9954858493709143,0.9641001839136046,0.0
oasst1,1.063721517037514,shadow_kv,16.8601640625,12.380246703380447,20.33820267962483,23.41145579998738,,0.0,0.8939547939838572,Qwen/Qwen2.5-3B-Instruct,17.0414375,12.49191881044701,20.35715456257492,24.12080330004755,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/oasst1/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_oasst1_semantic_cuda.json,1.0009318366646567,1.0302991623468607,0.0
oasst1,6.226367347238167,shadow_kv_plus,15.980375,11.707064033620831,20.746219796869525,24.00833210062956,127,0.9921875,6.282900079127978,Qwen/Qwen2.5-3B-Instruct,17.0414375,12.49191881044701,20.35715456257492,24.12080330004755,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/oasst1/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_oasst1_semantic_cuda.json,0.9812464517341462,1.0046846735935915,0.0
samsum,-0.5961366688556664,shadow_kv,17.544390625,13.143626581219024,21.028843437555622,25.30859299995427,,0.0,-1.3232139250301398,Qwen/Qwen2.5-3B-Instruct,17.440421875,12.971979541572871,21.10326235152371,25.29190070022196,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/samsum/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_samsum_semantic_cuda.json,1.003538897143301,0.9993404493196306,0.0
samsum,4.683982164278918,shadow_kv_plus,16.623515625,12.021818219884718,21.95349525779733,25.884391150020747,127,0.9921875,7.324721093207526,Qwen/Qwen2.5-3B-Instruct,17.440421875,12.971979541572871,21.10326235152371,25.29190070022196,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/samsum/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_samsum_semantic_cuda.json,0.9612711827301561,0.9771101260846804,0.0
ultrachat,-0.39247476833142314,shadow_kv,19.524234375,14.763817631883892,24.60967605462372,25.66889825011458,,0.0,0.8561238153767454,Qwen/Qwen2.5-3B-Instruct,19.44790625,14.89130564593932,24.589392343735028,25.640115699889066,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/ultrachat/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_ultrachat_semantic_cuda.json,0.9991757831007743,0.9988786994305302,0.0
ultrachat,-0.40420482281993314,shadow_kv_plus,19.526515625,14.735195177918342,25.513320460952116,28.94454989973383,127,0.9921875,1.0483329785360214,Qwen/Qwen2.5-3B-Instruct,19.44790625,14.89130564593932,24.589392343735028,25.640115699889066,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/ultrachat/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_ultrachat_semantic_cuda.json,0.9637864417283062,0.8858357027042542,0.0
xsum,-4.424482763501948,shadow_kv,20.1711796875,15.335474572548556,24.313184843769875,26.27316040034202,,0.0,-4.638559619552086,Qwen/Qwen2.5-3B-Instruct,19.3165234375,14.655662910790936,24.365754054635147,26.116887350008255,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/xsum/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_xsum_semantic_cuda.json,1.0021621688480167,0.9940519888756234,0.0
xsum,-2.2302392503179975,shadow_kv_plus,19.747328125,14.796350100686016,27.259024492174433,31.706073200348325,127,0.9921875,-0.9599510493073165,Qwen/Qwen2.5-3B-Instruct,19.3165234375,14.655662910790936,24.365754054635147,26.116887350008255,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/xsum/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_xsum_semantic_cuda.json,0.8938600888535138,0.8237187615438084,0.0
ag_news,-3.3064883782310615,shadow_kv,9.4182265625,5.390383862970301,9.284725976520747,10.179362149710869,,0.0,-4.230812298992778,TinyLlama/TinyLlama-1.1B-Chat-v1.0,9.11678125,5.171583857091739,9.266577945297172,10.18187560030128,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/TinyLlama_TinyLlama-1_1B-Chat-v1_0/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_TinyLlama_TinyLlama-1.1B-Chat-v1.0_public_dataset_ag_news_semantic_cuda.json,0.9980453886017242,1.0002469163149366,0.0
ag_news,-4.175935860038321,shadow_kv_plus,9.4974921875,5.412587693160897,10.745761984352953,11.570124249874425,127,0.9921875,-4.660155239263344,TinyLlama/TinyLlama-1.1B-Chat-v1.0,9.11678125,5.171583857091739,9.266577945297172,10.18187560030128,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/TinyLlama_TinyLlama-1_1B-Chat-v1_0/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_TinyLlama_TinyLlama-1.1B-Chat-v1.0_public_dataset_ag_news_semantic_cuda.json,0.8623472173299911,0.8800143698034866,0.0
alpaca_eval,-2.4439168061448155,shadow_kv,9.2527265625,5.326756250533651,9.040763726531509,10.085584250145985,,0.0,-5.12227205053322,TinyLlama/TinyLlama-1.1B-Chat-v1.0,9.0319921875,5.06720045774223,8.991110132825497,9.811253399811903,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/TinyLlama_TinyLlama-1_1B-Chat-v1_0/semantic/seed_42/alpaca_eval/shadow_kv/benchmark_hf_TinyLlama_TinyLlama-1.1B-Chat-v1.0_public_dataset_alpaca_eval_semantic_cuda.json,0.994507809825812,0.9727997066377081,0.0
