source,engine,workload,dataset,prompt_mode,n_requests,mean_latency_ms,speedup_vs_no_cache,cache_hit_rate,wasted_compute_ratio,reuse_density,reused_prefix_tokens_total,recompute_tokens_total,policy_net_utility_ms,semantic_partial_hits,layer_reuse_events
results/integration_validation_moderate_skew/benchmark_fake_default_synthetic_moderate_skew_cpu.json,shadow_kv_plus,synthetic,daily_dialog,raw,30,34.191667,0.967585,0.000000,0.000000,0.000000,0.0,394.0,290.832764,0.0,25.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,no_cache,synthetic,daily_dialog,raw,40,205.750000,1.000000,0.000000,0.000000,0.000000,0.0,3288.0,0.000000,0.0,0.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,reactive_prefix_cache,synthetic,daily_dialog,raw,40,86.643750,2.374666,0.000000,0.000000,0.629562,2070.0,1218.0,0.000000,0.0,0.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,greedy_prefix_cache,synthetic,daily_dialog,raw,40,86.643750,2.374666,0.000000,0.000000,0.629562,2070.0,1218.0,0.000000,0.0,0.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,strict_reactive_prefix_cache,synthetic,daily_dialog,raw,40,86.643750,2.374666,0.000000,0.000000,0.629562,2070.0,1218.0,0.000000,0.0,0.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,frequency_speculative,synthetic,daily_dialog,raw,40,98.887500,2.080647,0.000000,0.000000,0.549878,1808.0,1480.0,0.000000,0.0,0.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,shadow_kv,synthetic,daily_dialog,raw,40,106.006250,1.940923,0.000000,0.000000,0.502737,1653.0,1635.0,0.000000,0.0,0.0
results/integration_validation_rag_long_context/benchmark_fake_default_synthetic_rag_long_context_cpu.json,shadow_kv_plus,synthetic,daily_dialog,raw,40,90.206250,2.280884,0.000000,0.000000,0.612226,2013.0,1275.0,5170.734817,0.0,39.0
results/integration_validation_uniform/benchmark_fake_default_synthetic_uniform_cpu.json,no_cache,synthetic,daily_dialog,raw,40,36.437500,1.000000,0.000000,0.000000,0.000000,0.0,579.0,0.000000,0.0,0.0
results/integration_validation_uniform/benchmark_fake_default_synthetic_uniform_cpu.json,reactive_prefix_cache,synthetic,daily_dialog,raw,40,33.831250,1.077037,0.000000,0.000000,0.255613,148.0,431.0,0.000000,0.0,0.0
results/integration_validation_uniform/benchmark_fake_default_synthetic_uniform_cpu.json,greedy_prefix_cache,synthetic,daily_dialog,raw,40,33.831250,1.077037,0.000000,0.000000,0.255613,148.0,431.0,0.000000,0.0,0.0
results/integration_validation_uniform/benchmark_fake_default_synthetic_uniform_cpu.json,strict_reactive_prefix_cache,synthetic,daily_dialog,raw,40,36.437500,1.000000,0.000000,0.000000,0.000000,0.0,579.0,0.000000,0.0,0.0
results/integration_validation_uniform/benchmark_fake_default_synthetic_uniform_cpu.json,frequency_speculative,synthetic,daily_dialog,raw,40,37.512500,0.971343,0.000000,0.000000,0.148532,86.0,493.0,0.000000,0.0,0.0
results/integration_validation_uniform/benchmark_fake_default_synthetic_uniform_cpu.json,shadow_kv,synthetic,daily_dialog,raw,40,42.312500,0.861152,0.000000,0.000000,0.000000,0.0,579.0,0.000000,0.0,0.0
results/integration_validation_uniform/benchmark_fake_default_synthetic_uniform_cpu.json,shadow_kv_plus,synthetic,daily_dialog,raw,40,35.843750,1.016565,0.000000,0.000000,0.072539,42.0,537.0,386.614941,0.0,30.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/ag_news/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_raw_cuda_0.json,no_cache,public_dataset,ag_news,raw,64,40.344988,1.000000,0.000000,0.000000,0.000000,0.0,5278.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/ag_news/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_raw_cuda_0.json,reactive_prefix_cache,public_dataset,ag_news,raw,64,40.792164,0.989038,0.000000,0.000000,0.004168,22.0,5256.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/ag_news/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_raw_cuda_0.json,greedy_prefix_cache,public_dataset,ag_news,raw,64,43.721792,0.922766,0.000000,0.000000,0.000000,0.0,5278.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/ag_news/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_raw_cuda_0.json,strict_reactive_prefix_cache,public_dataset,ag_news,raw,64,37.366045,1.079723,0.000000,0.000000,0.000000,0.0,5278.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/ag_news/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_raw_cuda_0.json,frequency_speculative,public_dataset,ag_news,raw,64,45.609839,0.884568,0.000000,1.000000,0.250095,1320.0,3958.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/ag_news/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_raw_cuda_0.json,shadow_kv,public_dataset,ag_news,raw,64,47.071415,0.857102,0.000000,1.000000,0.245926,1298.0,3980.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/alpaca_eval/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_alpaca_eval_raw_cuda_0.json,no_cache,public_dataset,alpaca_eval,raw,64,49.383911,1.000000,0.000000,0.000000,0.000000,0.0,2746.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/alpaca_eval/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_alpaca_eval_raw_cuda_0.json,reactive_prefix_cache,public_dataset,alpaca_eval,raw,64,41.467246,1.190914,0.000000,0.000000,0.000000,0.0,2746.0,0.000000,0.0,0.0
