engine,model,mode,seed,dataset,latency_ms,speedup,hit_rate,waste
no_cache,Qwen2.5-1.5B,raw,456,ag_news,56.43,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,456,alpaca_eval,47.87,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,456,banking77,49.34,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,456,cnn_dailymail,226.12,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,456,daily_dialog,73.51,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,456,dolly,65.63,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,456,oasst1,83.18,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,456,samsum,93.55,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,456,ultrachat,186.69,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,456,xsum,177.04,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,42,ag_news,92.88,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,42,alpaca_eval,77.7,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,42,banking77,77.89,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,42,cnn_dailymail,279.54,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,42,daily_dialog,103.51,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,42,dolly,103.9,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,42,oasst1,111.51,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,42,samsum,147.72,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,42,ultrachat,231.26,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,42,xsum,240.62,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,123,ag_news,97.78,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,123,alpaca_eval,77.7,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,123,banking77,78.21,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,123,cnn_dailymail,278.67,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,123,daily_dialog,106.67,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,123,dolly,106.91,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,123,oasst1,129.85,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,123,samsum,146.37,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,123,ultrachat,234.53,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,123,xsum,245.46,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,456,ag_news,94.44,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,456,alpaca_eval,76.26,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,456,banking77,77.62,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,456,cnn_dailymail,276.21,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,456,daily_dialog,110.98,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,456,dolly,98.21,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,456,oasst1,119.96,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,456,samsum,138.38,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,456,ultrachat,235.52,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,templated,456,xsum,226.19,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,42,ag_news,67.01,1.0,0.0,0.0
