model_slug,model_params_B,dataset,mode,engine,mean_latency_ms,latency_ci_95_lower,latency_ci_95_upper,throughput_rps,cached_tokens_mean,gpu_energy_j,speedup_vs_lmcache_pct
qwen25_15b,1.54,oasst1,rag,lmcache_no_native_radix,12.915007455395472,12.915007455395472,12.915007455395472,77.43301644530557,4.569443989438323,1103.201249328413,0.0
qwen25_15b,1.54,oasst1,templated,lmcache_no_native_radix,12.944064368236536,12.944064368236536,12.944064368236536,77.2702998633264,3.866452606447812,1087.8492225523496,0.0
qwen25_15b,1.54,samsum,rag,lmcache_no_native_radix,12.676067803719585,11.68653150924537,12.014208158453272,78.89260298776834,4.333333333333333,1082.791,0.0
qwen25_15b,1.54,samsum,templated,lmcache_no_native_radix,12.704587136643871,11.624968627640175,11.971544501353836,78.72681925247144,3.6666666666666665,1067.723,0.0
qwen25_15b,1.54,ultrachat,rag,lmcache_no_native_radix,13.509945373451968,13.509945373451968,13.509945373451968,74.02492207806299,3.94972654720442,1114.507981424089,0.0
qwen25_15b,1.54,ultrachat,templated,lmcache_no_native_radix,13.315544917310785,13.315544917310785,13.315544917310785,75.10037588046262,0.4937158184005524,1094.9834064552497,0.0
qwen25_15b,1.54,xsum,rag,lmcache_no_native_radix,14.819190055277431,13.906549324258712,14.118759147369095,67.48404171194208,8.333333333333334,1325.355,0.0
qwen25_15b,1.54,xsum,templated,lmcache_no_native_radix,14.755659474303682,13.742969231864668,14.02031289865826,67.77846801465913,7.333333333333333,1307.8606666666667,0.0
qwen25_32b,32.5,ag_news,rag,lmcache_no_native_radix,92.22145823514438,92.22145823514438,92.22145823514438,10.843463323364729,129.69140625,12404.53,0.0
qwen25_32b,32.5,ag_news,templated,lmcache_no_native_radix,92.02076234032576,92.02076234032576,92.02076234032576,10.86711275333323,118.734375,12400.605,0.0
qwen25_32b,32.5,alpaca_eval,rag,lmcache_no_native_radix,100.03320826681744,100.03320826681744,100.03320826681744,9.996680275741143,170.74285793638393,13593.232008282564,0.0
qwen25_32b,32.5,alpaca_eval,templated,lmcache_no_native_radix,99.70243160111008,99.70243160111008,99.70243160111008,10.029845651115153,149.70723395899685,13648.6118305875,0.0
qwen25_32b,32.5,banking77,rag,lmcache_no_native_radix,87.78091383313274,87.78091383313274,87.78091383313274,11.39199805895108,112.72546402032438,11807.240960060552,0.0
qwen25_32b,32.5,banking77,templated,lmcache_no_native_radix,87.58988162233408,87.58988162233408,87.58988162233408,11.41684383490496,103.20180730585764,11803.50495226596,0.0
qwen25_32b,32.5,cnn_dailymail,rag,lmcache_no_native_radix,116.13188485470936,116.13188485470936,116.13188485470936,8.610899592743914,140.00201602363506,17606.18543327362,0.0
qwen25_32b,32.5,cnn_dailymail,templated,lmcache_no_native_radix,115.41069655669602,115.41069655669602,115.41069655669602,8.664708123555476,125.02021028465406,17655.214159655625,0.0
qwen25_32b,32.5,daily_dialog,rag,lmcache_no_native_radix,93.44347656951868,93.44347656951868,93.44347656951868,10.701656624002371,156.640625,12779.477,0.0
qwen25_32b,32.5,daily_dialog,templated,lmcache_no_native_radix,93.46231813651684,93.46231813651684,93.46231813651684,10.699499219988724,141.7578125,12727.295,0.0
qwen25_32b,32.5,dolly,rag,lmcache_no_native_radix,94.17024220601888,94.17024220601888,94.17024220601888,10.619065817121632,143.8203125,12796.53,0.0
qwen25_32b,32.5,dolly,templated,lmcache_no_native_radix,93.8588524259103,93.8588524259103,93.8588524259103,10.654296042979787,126.1015625,12848.664,0.0
qwen25_32b,32.5,oasst1,rag,lmcache_no_native_radix,100.7726137183109,100.7726137183109,100.7726137183109,9.923330983508022,168.2648320029046,14440.626014168514,0.0
qwen25_32b,32.5,oasst1,templated,lmcache_no_native_radix,100.66257261669745,100.66257261669745,100.66257261669745,9.934178851237949,152.58757495019822,14392.842983655468,0.0
qwen25_32b,32.5,samsum,rag,lmcache_no_native_radix,98.9082266241894,98.9082266241894,98.9082266241894,10.110382463933853,159.5703125,14173.461,0.0
qwen25_32b,32.5,samsum,templated,lmcache_no_native_radix,98.80022138531784,98.80022138531784,98.80022138531784,10.121434810353618,144.703125,14126.562,0.0
qwen25_32b,32.5,ultrachat,rag,lmcache_no_native_radix,107.29920585947244,107.29920585947244,107.29920585947244,9.319733468574588,232.00786309994712,14674.408356149375,0.0
qwen25_32b,32.5,ultrachat,templated,lmcache_no_native_radix,107.3208412400284,107.3208412400284,107.3208412400284,9.31785465381743,209.9642232393287,14614.488847953497,0.0
qwen25_32b,32.5,xsum,rag,lmcache_no_native_radix,119.16677340377646,119.16677340377646,119.16677340377646,8.391600875284833,150.6484375,18066.29,0.0
qwen25_32b,32.5,xsum,templated,lmcache_no_native_radix,118.4267382050166,118.4267382050166,118.4267382050166,8.444039033388151,134.52734375,18116.6,0.0
qwen25_3b,3.09,ag_news,rag,lmcache_no_native_radix,14.641560264711492,15.52061357324907,15.703886979701702,68.31029674202439,0.0,1646.7666666666669,0.0
qwen25_3b,3.09,ag_news,templated,lmcache_no_native_radix,14.660855786739072,15.538715895702593,15.661009331522356,68.20915824389898,0.0,1619.642,0.0
qwen25_3b,3.09,alpaca_eval,rag,lmcache_no_native_radix,17.02926137221645,17.02926137221645,17.02926137221645,58.73711000596478,1.5829276126428842,1874.5635386199376,0.0
qwen25_3b,3.09,alpaca_eval,templated,lmcache_no_native_radix,16.853719360252203,16.853719360252203,16.853719360252203,59.33518253583122,3.1658552252857683,1847.3831578078536,0.0
qwen25_3b,3.09,banking77,rag,lmcache_no_native_radix,13.936556248136489,13.936556248136489,13.936556248136489,71.76588740008219,0.0,1567.4734019208342,0.0
qwen25_3b,3.09,banking77,templated,lmcache_no_native_radix,13.954922673791454,13.954922673791454,13.954922673791454,71.65963264180333,0.0,1541.6548118336116,0.0
qwen25_3b,3.09,cnn_dailymail,rag,lmcache_no_native_radix,20.52694877457596,20.52694877457596,20.52694877457596,48.71682204266344,7.744411334260441,2402.1626602351434,0.0
qwen25_3b,3.09,cnn_dailymail,templated,lmcache_no_native_radix,20.10865332665976,20.10865332665976,20.10865332665976,49.7309512170027,6.815081974149187,2344.454748061878,0.0
qwen25_3b,3.09,daily_dialog,rag,lmcache_no_native_radix,16.056639810509903,16.784491448621694,16.99897094211157,62.28220308839619,2.6666666666666665,1767.396,0.0
qwen25_3b,3.09,daily_dialog,templated,lmcache_no_native_radix,15.659151575467453,16.486152803596394,16.63335520522979,63.86553479028536,0.3333333333333333,1742.4583333333333,0.0
qwen25_3b,3.09,dolly,rag,lmcache_no_native_radix,16.031173005406647,16.759380322035295,17.00832106960581,62.394036805844586,1.3333333333333333,1764.695,0.0
qwen25_3b,3.09,dolly,templated,lmcache_no_native_radix,15.865919545376528,16.616539523012193,16.848688482709665,63.029344866409055,2.6666666666666665,1739.1076666666668,0.0
qwen25_3b,3.09,oasst1,rag,lmcache_no_native_radix,17.687077230338396,17.687077230338396,17.687077230338396,56.55779048392689,4.569443989438323,1996.722218424504,0.0
qwen25_3b,3.09,oasst1,templated,lmcache_no_native_radix,17.582370155728025,17.582370155728025,17.582370155728025,56.87929417776744,3.866452606447812,1984.3588173370824,0.0
qwen25_3b,3.09,samsum,rag,lmcache_no_native_radix,17.359849848768743,18.145199664463256,18.51851031969299,57.62388597718561,4.333333333333333,1959.781,0.0
qwen25_3b,3.09,samsum,templated,lmcache_no_native_radix,17.257079952438897,18.028139472708432,18.35661513498788,57.95144990846006,3.6666666666666665,1947.646333333333,0.0
qwen25_3b,3.09,ultrachat,rag,lmcache_no_native_radix,18.437506433716127,18.437506433716127,18.437506433716127,54.23959607502324,3.94972654720442,2029.4641659455224,0.0
qwen25_3b,3.09,ultrachat,templated,lmcache_no_native_radix,17.981078938461195,17.981078938461195,17.981078938461195,55.61846945625802,0.4937158184005524,2000.8287605908115,0.0
qwen25_3b,3.09,xsum,rag,lmcache_no_native_radix,21.063382001860493,21.796502334083417,22.010915661969488,47.476122801246085,8.333333333333334,2464.938666666667,0.0
qwen25_3b,3.09,xsum,templated,lmcache_no_native_radix,20.63415518856952,21.48547856240566,21.77644258952758,48.46442456639597,7.333333333333333,2405.7226666666666,0.0
qwen25_7b,7.61,ag_news,rag,lmcache_no_native_radix,24.39622553962788,27.59235204507433,27.76693887144952,40.99006181736143,0.0,3459.1693333333333,0.0
qwen25_7b,7.61,ag_news,templated,lmcache_no_native_radix,24.383500998283125,27.551115760920418,27.63323056560048,41.01141906071114,0.0,3476.561333333333,0.0
qwen25_7b,7.61,alpaca_eval,rag,lmcache_no_native_radix,27.80502670044476,27.80502670044476,27.80502670044476,35.96630091608564,1.5829276126428842,3927.244225061001,0.0
qwen25_7b,7.61,alpaca_eval,templated,lmcache_no_native_radix,27.625745194748443,27.625745194748443,27.625745194748443,36.1981378803528,3.1658552252857683,3872.621793581695,0.0
qwen25_7b,7.61,banking77,rag,lmcache_no_native_radix,23.22152580245842,23.22152580245842,23.22152580245842,43.06361267930851,0.0,3292.6072846225275,0.0
qwen25_7b,7.61,banking77,templated,lmcache_no_native_radix,23.209413958981585,23.209413958981585,23.209413958981585,43.08605031454819,0.0,3309.161844511324,0.0
qwen25_7b,7.61,cnn_dailymail,rag,lmcache_no_native_radix,34.57588526068225,34.57588526068225,34.57588526068225,28.9241385220839,7.744411334260441,4873.015563402995,0.0
qwen25_7b,7.61,cnn_dailymail,templated,lmcache_no_native_radix,34.06244493361832,34.06244493361832,34.06244493361832,29.36208108796334,6.815081974149187,4797.312585128507,0.0
qwen25_7b,7.61,daily_dialog,rag,lmcache_no_native_radix,26.14080431976617,29.482897225643207,29.66277154346068,38.25487193630577,2.6666666666666665,3670.6666666666665,0.0
qwen25_7b,7.61,daily_dialog,templated,lmcache_no_native_radix,25.542211571519147,28.87228940989976,29.066664561010487,39.15137837514704,0.3333333333333333,3611.303,0.0
qwen25_7b,7.61,dolly,rag,lmcache_no_native_radix,26.17536860301092,29.33382605183644,29.7025689296919,38.20553484671686,1.3333333333333333,3697.0676666666654,0.0
qwen25_7b,7.61,dolly,templated,lmcache_no_native_radix,26.00659482171371,29.15885034232186,29.25587692110732,38.45180580012216,2.6666666666666665,3645.646666666667,0.0
qwen25_7b,7.61,oasst1,rag,lmcache_no_native_radix,29.38585422035388,29.38585422035388,29.38585422035388,34.03455816077873,4.569443989438323,4125.682972774069,0.0
qwen25_7b,7.61,oasst1,templated,lmcache_no_native_radix,28.860948298800025,28.860948298800025,28.860948298800025,34.651645168300234,3.866452606447812,4046.4487322867344,0.0
qwen25_7b,7.61,samsum,rag,lmcache_no_native_radix,28.842188582075323,31.961800744472907,32.472974509159926,34.676098234388384,4.333333333333333,4049.354,0.0
qwen25_7b,7.61,samsum,templated,lmcache_no_native_radix,28.32699390834629,31.58705238838292,31.97466595210674,35.304817126253994,3.6666666666666665,3971.5856666666655,0.0
qwen25_7b,7.61,ultrachat,rag,lmcache_no_native_radix,30.01694336524433,30.01694336524433,30.01694336524433,33.3149551370566,3.94972654720442,4214.950393194676,0.0
qwen25_7b,7.61,ultrachat,templated,lmcache_no_native_radix,29.329591728960104,29.329591728960104,29.329591728960104,34.09569417180773,0.4937158184005524,4146.784326133794,0.0
qwen25_7b,7.61,xsum,rag,lmcache_no_native_radix,35.47946103905512,38.89032529167101,39.23509971676455,28.187510901103764,8.333333333333334,5000.362666666667,0.0
qwen25_7b,7.61,xsum,templated,lmcache_no_native_radix,34.95260291401792,38.19836338333686,38.73393878493244,28.614300132539608,7.333333333333333,4922.681333333333,0.0
